index,article_index,date,sentiment,size,color_grp,callout_flag,callout_text
123,211,20160329,-0.395725,0.304347826087,Local,0,
124,212,20160329,-0.321861,0.891304347826,Local,0,
125,213,20160327,0.214954,0.891304347826,Local,0,
126,214,20160324,-0.396451,0.45652173913,National,0,
127,215,20160326,0.129925,0.369565217391,National,0,
128,216,20160325,-0.455403,0.326086956522,Local,0,
129,219,20160324,-0.317933,0.521739130435,National,0,
130,221,20160324,-0.165817,0.804347826087,Local,0,
131,223,20160323,-0.223659,0.326086956522,Local,0,
132,224,20160323,-0.509677,0.891304347826,Local,0,
133,225,20160323,-0.304592,0.891304347826,Local,0,
134,226,20160322,-0.496062,0.804347826087,Local,0,
135,227,20160322,-0.889492,0.804347826087,Local,0,
136,229,20160320,-0.0434627,0.326086956522,Local,0,
137,232,20160318,-0.832363,0.326086956522,Local,0,
138,233,20160318,-0.601258,0.891304347826,Local,0,
139,234,20160318,-0.252053,0.173913043478,National,0,
140,237,20160317,0.241284,0.326086956522,Local,0,
141,238,20160317,-0.615072,1.0,National,0,
142,239,20160315,-0.537205,0.369565217391,National,0,
143,241,20160309,-0.466509,1.0,National,0,
144,242,20160309,-0.158228,0.891304347826,Local,0,
145,246,20160307,-0.0422231,1.0,National,0,
146,247,20160307,-0.617905,0.369565217391,National,0,
147,249,20160307,-0.229955,0.891304347826,Local,0,
148,254,20160303,0.229083,1.0,National,0,
149,256,20160301,-0.690427,0.326086956522,Local,0,
150,258,20160301,-0.4699,0.304347826087,Local,0,
151,259,20160301,-0.544483,0.891304347826,Local,0,
152,261,20160228,-0.664863,0.369565217391,National,0,
153,262,20160227,-0.725894,0.521739130435,National,0,
154,263,20160227,-0.440984,0.521739130435,National,0,
155,264,20160227,-0.48941,0.521739130435,National,0,
156,269,20160226,-0.554145,0.521739130435,National,0,
157,270,20160226,-0.357994,1.0,National,0,
158,273,20160226,-0.245054,1.0,National,0,
159,274,20160226,-0.459542,1.0,National,0,
160,275,20160226,-0.353765,1.0,National,0,
161,276,20160226,-0.246696,1.0,National,0,
162,279,20160226,-0.734582,0.369565217391,National,0,
163,280,20160226,-0.928018,0.369565217391,National,0,
164,281,20160226,-0.535984,0.369565217391,National,0,
165,282,20160226,-0.651553,0.173913043478,National,0,
166,283,20160226,-0.461431,0.173913043478,National,0,
167,284,20160225,-0.478877,0.521739130435,National,0,
168,286,20160224,-0.62837,0.45652173913,National,0,
169,287,20160225,-0.747106,0.326086956522,National,0,
170,288,20160225,-0.570771,1.0,National,0,
171,289,20160225,-0.613642,1.0,National,0,
172,290,20160225,-0.564799,1.0,National,0,
173,291,20160225,-0.429758,1.0,National,0,
174,294,20160225,-0.697923,0.369565217391,National,0,
175,295,20160225,-0.588077,0.369565217391,National,0,
176,297,20160225,-0.679913,0.804347826087,Local,0,
177,298,20160225,-0.535818,0.804347826087,Local,0,
178,299,20160225,-0.483534,0.173913043478,National,0,
179,302,20160224,-0.480895,1.0,National,0,
180,303,20160224,-0.584469,1.0,National,0,
181,304,20160224,-0.322576,0.369565217391,National,0,
182,306,20160224,-0.481053,0.173913043478,National,0,
183,307,20160224,-0.615706,0.304347826087,Local,0,
184,308,20160224,-0.713166,0.45652173913,National,0,
185,309,20160224,-0.520697,0.891304347826,Local,0,
186,310,20160224,-0.662953,0.891304347826,Local,0,
187,311,20160224,-0.901474,0.891304347826,Local,0,
188,312,20160224,-0.618686,0.891304347826,Local,0,
189,317,20160217,-0.575244,0.804347826087,Local,0,
190,318,20160217,-0.675922,0.891304347826,Local,0,
191,320,20160213,-0.482016,0.521739130435,National,0,
192,321,20160213,-0.443305,0.521739130435,National,0,
193,323,20160211,-0.456327,0.804347826087,Local,0,
194,325,20160209,-0.489378,0.521739130435,National,0,
195,326,20160208,-0.46129,0.804347826087,Local,0,
196,329,20160206,-0.489145,0.521739130435,National,0,
197,331,20160202,0.518487,0.804347826087,Local,0,
198,334,20160201,-0.475818,0.891304347826,Local,0,
199,336,20160130,-0.206025,0.804347826087,Local,0,
200,338,20160127,-0.541139,0.304347826087,Local,0,
201,339,20160127,-0.343714,0.891304347826,Local,0,
202,341,20160126,-0.403081,0.521739130435,National,0,
203,344,20160122,-0.574022,0.326086956522,National,0,
204,345,20160121,-0.508465,1.0,National,0,
205,346,20160122,-0.56279,0.804347826087,Local,0,
206,347,20160122,-0.345634,0.891304347826,Local,0,
207,348,20160121,-0.629356,0.804347826087,Local,0,
208,350,20160119,-0.47613,1.0,National,0,
209,351,20160119,-0.0808657,0.891304347826,Local,0,
210,352,20160119,-0.614572,0.804347826087,Local,0,
211,353,20160119,-0.411242,0.45652173913,National,0,
212,355,20160118,-0.469319,0.891304347826,Local,0,
213,356,20160117,-0.386459,0.891304347826,Local,0,
214,358,20160115,-0.614164,0.804347826087,Local,0,
215,359,20160115,-0.719251,0.804347826087,Local,0,
216,360,20160114,-0.0904536,0.891304347826,Local,0,
217,361,20160113,-0.247371,0.804347826087,Local,0,
218,362,20160112,-0.676474,0.804347826087,Local,0,
219,363,20160112,-0.552245,0.804347826087,Local,0,
220,364,20160111,-0.392501,1.0,National,0,
221,365,20160111,-0.557218,0.804347826087,Local,0,
222,366,20160111,-0.608518,0.804347826087,Local,0,
223,368,20160109,-0.430571,0.326086956522,National,0,
224,369,20160108,-0.482656,0.521739130435,National,0,
225,370,20160108,-0.520688,0.326086956522,National,0,
226,371,20160107,-0.424621,0.45652173913,National,0,
227,372,20160106,0.224745,0.326086956522,Local,0,
228,373,20160106,-0.597467,0.326086956522,Local,0,
